Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
The word order of predicate clitics in Bulgarian,"Hauge, Kjetil Rå",article,,,,,"Hauge, Kjetil Rå. 1999 (1976). The word order of predicate clitics in Bulgarian. Journal of Slavic Linguistics, 7(1): 89-137. [orig. 1976: Oslo: University of Oslo]",1,Journal of Slavic Linguistic,,89-137,,134,,,7,1999,
Grammatical relations and relativization in Lunda,"Kawasha, Boniface",article,,,,,,,Journal of African Languages and Linguistics,,31-62,,135,,,23,2002,
,"Kayne, Richard S.",book,French syntax,,Cambridge,,,,,,,MIT Press,136,,,,1975,
,"Kemmer, Suzanne",book,The middle voice,,Amsterdam,,,,,,,John Benjamins,137,,,,1993,
,"Kimenyi, Alexandre",book,A Relational Grammar of Kinyarwanda,,Berkeley,,"Kimenyi, Alexandre. 1980. A Relational Grammar of Kinyarwanda. Berkeley. University of California Press.",,,ch001kimenyi1980,,University of California Press,138,,,,1980,
Dopolnitel'nye konstrukcii v kabardinskom jazyke,"Kumaxov, Muxadin & Karina Vamling",misc,,,Lund,,"Kumaxov, Muxadin & Karina Vamling. 1998. Dopolnitel'nye konstrukcii v kabardinskom jazyke. Lund. Lund University, Department of Linguistics.",,,,,"Lund University, Department of Linguistics",140,,,,1998,
A syntactic view of Romance pronominal sequences,"Laenzlinger, Christopher",article,,,,,,3,Probus,,241-270,,141,,,5,1993,
,"Launey, Michel",book,Une grammaire omniprédicative: Essai sur la morphosyntaxe du nahuatl classique,,Paris,,,,,,,CNRS Éditions,142,,,,1994,
Czech pronominal clitics,"Lenertová, Denisa",misc,,,,,,,,,,,144,,,,2001,
,"Lichtenberk, František",book,A Grammar of Manam,,Honolulu,,"Lichtenberk, Frantisek. 1983. A Grammar of Manam. Honolulu. University of Hawaii Press.",,,ch001lichtenberk1983,,University of Hawaii Press,145,,,,1983,
,"Lumwamu, François",book,Essai de morphosyntaxe systematique des parlers kongo,,Paris,,,,,,,Editions Klincksieck,146,,,,1973,
,"Meyer-Lübke, Wilhelm",,Grammatik der romanischen Sprachen. 3. Band: Syntax,,Leipzig,,"Meyer-Lübke, Wilhelm. 1899. Grammatik der romanischen Sprachen. 3. Band: Syntax. Leipzig: O.R. Reisland.",,,,,O.R. Reisland,147,,,,1899,
French clitic movement without clitics or movement,"Miller, Philip & Ivan Sag",article,,,,,,3,Natural Language and Linguistic Theory,,573-639,,148,,,15,1997,
Les pronoms clitiques dans les langues romanes,"Miller, Philip & Paola Monaches",incollection,Les langues romanes: Problèmes de la phrase simple,,Paris,"Godard, Danièle",,,,,67-123,Éditions du CNRS,149,,,,2003,
New directions in referentiality,"Mithun, Marianne",incollection,Studies in Anaphora,,Amsterdam,"Fox, Barbara",,,,,413-435,John Benjamins,150,,,,1996,
,"Newmeyer, Frederick J.",book,Language form and language function,,Cambridge,,,,,,,MIT Press,151,,,,1998,a
The irrelevance of typology for grammatical theory,"Newmeyer, Frederick J.",article,,,,,,,Syntaxis,,161-197,,152,,,1,1998,b
Optimality and functionality: A critique of functionally-based optimality-theoretic Syntax,"Newmeyer, Frederick J.",article,,,,,,,Natural Language and Linguistic Theory,,43-80,,153,,,20,2002,a
Where is functional explanation?,"Newmeyer, Frederick J.",incollection,Papers from the Thirty-Seventh Meeting of the Chicago Linguistic Society,,Chicago,"Andronis, Mary & Christopher Ball & Heidi Elston & Sylvain Neuvel",,,,,99-122,Chicago Linguistic Society,154,,,,2002,b
On alienable and inalienable possession,"Nichols, Johanna",incollection,In honor of Mary Haas,,Berlin,"Shipley, William",,,,,557-609,Mouton de Gruyter,155,,,,1988,
On the syntactic nature of the me-lui and the Person-Case Constraint,"Ormazabal, Javier & Juan Romero",article,,,,,,2,Anuario del Seminario Julio de Urquijo,,415-433,,156,,,32,1998,
