Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
Ingush,"Nichols, Johanna",,"The Indigenous Languages of the Caucasus, Vol. 4",,"Delmar, New York","Smeets, Rieks",,,,,79-145,Caravan Books,1912,,,,1994,
,"Bammesberger, Alfred",,A Handbook of Irish,,Heidelberg,,,,,,,Carl Winter Universitätsverlag,1914,,,,1982,
,"Stenson, Nancy",,Studies in Irish Syntax,,Tübingen,,,,,,,Günter Narr,1915,,,,1981,
,"Cyffer, Norbert",,A Sketch of Kanuri,,Köln,,,,,,,Rüdiger Köppe,1916,,,,1998,
,"Cyffer, Norbert",,Syntax des Kanuri (Dialekt von Yerwa (Maiduguri)),,Hamburg,,,,,,,Buske,1917,,,,1974,
,"Hutchinson, John P.",,Aspects of Kanuri Syntax,,Ann Arbor,,,,,,,University Microfilms,1918,,,,1976,
,"Oates, William J. & Lynette F. Oates",,Kapau Pedagogical Grammar,,Canberra,,,,,,,The Australian National University,1919,,,,1968,
,"Woollams, Geoffrey",,"A Grammar of Karo Batak, Sumatra",,Canberra,,,,,,,Australian National University,1920,,,,1996,
,"Clairis, Christos",,"El Qawasqar: Linguistica Fueguina, Teoria y Descripcion",,"Valdivia, Chile",,,,,,,"Faculted de Filosofia y Humanidades, Universidad Austral de Chile",1921,,,,1985,
,"Werner, Heinrich",,Zur Typologie der Yenissej-Sprachen,,Wiesbaden,,,,,,,Harrassowitz,1925,,,,1995,
,"Werner, Heinrich",,Das Jugische (Sym-Ketische),,Wiesbaden,,,,,,,Harrassowitz,1926,,,,1997,
,"Nagaraja, K. S.",,Khasi: A Descriptive Analysis,,Pune,,,,,,,Deccan College Post-Graduate & Research Institute,1927,,,,1985,
,"Roberts, H.",,A Grammar of the Khasi Language,,Delhi,,,,,,,Mittal,1929,,,,1995,
,"Weidert, Alfons",,I Tkong Amwi: Analyse eines Wardialekts des Khasi,,Wiesbaden,,,,,,,Harrassowitz,1930,,,,1975,
A Khmu Grammar,"Premsrirat, Suwilai",,"Papers in South-East Asian Linguistics, 10",,Cranberra,,,,,,,Australian National University,1931,,,,1987,
,"Smalley, William A.",,Outline of Khmu Structure,,"New Haven, Conn.",,,,,,,American Oriental Society,1932,,,,1961,
Kunama Verb Phrase,"Thompson, E. David",,Topics in Nilo-Saharan Linguistics,,Hamburg,"Bender, M. Lionel",,,,,305-346,Buske,1940,,,,1989,
Laksij jazyk,"Murkeslinskij, G. B.",,Jazynski Narodov SSSR 4,,Moskow,"Bokarev, E. A. et. al.",,,,,,Nauka,1942,,,,1967,
,"Zhirkov, Lev I.",,Lakskij jazyk,,Moskova,,,,,,,Isdatel’stvo Akademii Nauk SSSR,1943,,,,1955,
,"Fennell, Trevor G. & Gelsen, Henry",,A Grammar of Modern Lativan (Volumes 1 to 3),,The Hague,,,,,,,Mouton,1944,,,,1980,
,"Nau, Nicole",,Latvian,,Munich,,,,,,,Lincom Europa,1946,,,,1998,
,"Mainwaring, George Byres",,A Grammar of the Rong (Lepcha) Language,,Calcutta,,,,,,,Baptist Mission Press,1948,,,,1876,
,"Trenga, Georges",,Le Bura-Mabang du Ouadai,,Paris,,,,,,,"Institut d’Ethnologie, Universite de Paris",1949,,,,1947,
,"Bauer, Winifred",,Maori,,Munich,,,,,,,Lincom Europa,1950,,,,1993,
,"Drabbe, Peter",,"Spraakkunst van het Marind, zuidkust Nederlands Nieuw-Guinea",,Wien-Mödling,,,,,,,Drukkerij Missiehuis St. Gabriel,1952,,,,1955,
,"Sinha, N. K.",,Mundari Grammar,,"Mansagangotri, Mysore",,,,,,,Central Institute of Indian Languages,1953,,,,1974,
,"Faltz, Leonard M.",,The Navajo Verb: A Grammar for Students and Scholars,,Albuquerque,,,,,,,University of New Mexico Press,1955,,,,1998,
,"Landar, Herbert Jay",,Navaho Syntax,,Baltimore,,,,,,,Waverly Press,1956,,,,1963,
,"Young, Robert W. & Morgan, William",,The Navajo Language: A Grammar and Colloquial Dictionary,,Albuquerque,,,,,,,University of New Mexico Press,1957,,,,1980,
,"Huttar, George L. & Mary Huttar",,Ndyuka,,London,,,,,,,Routledge,1958,,,,1994,
,"Castren, Matthias A.",,Grammatik der samojedischen Sprachen,,Bloomington,,,,,,,Indiana University,1959,,,,1966,
,"Hajdu, Peter",,The Samoyed peoples and languages,,Bloomington,,,,,,,Indiana University,1960,,,,1968,
Nenets,"Tereshchenko, N. M.",,"Jazyki Narodov SSSR, Vol. 3",,Moskva,"Lytkin, V. I. et. al.",,,,,,Nauka,1961,,,,1966,
,"Aoki, Haruo",,Nez Perce Grammar,,Berkeley,,,,,,,University of California Press,1962,,,,1970,
,"Kutsch Lojenga, Constance",,Ngiti: A Central-Sudanic Language of Zaire,,Köln,,,,,,,Rüdiger Köppe,1963,,,,1994,
,"Gruzdeva, Ekaterina",,Nivkh,,Munich,,,,,,,Lincom Europa,1964,,,,1998,
,"Heath, Jeffrey",,Functional Grammar of Nunggubuyu,,Atlantic Highlands N.J.,,,,,,,Humanities Press,1967,,,,1984,
Paumari,"Chapman, Shirley & Derbyshire, Desmond",,Handbook of Amazonian Languages Vol. 3,,Berlin,"Derbyshire, Desmond C. & Pullum, Geoffrey",,,,,161-352,Mouton de Gruyter,1970,,,,1990,
,"Eckert, Paul & Joyce Hudson",,Wangka Wiru: A Handbook for the Pitjantjatjara Language Learner,,"Underdale, Australia",,,,,,,Aboriginal Studies and Teacher Education Centre,1972,,,,1988,
,"Najlis, Elena L.",,Lengua Selknam,,Buenos Aires,,,,,,,Universidad del Salvador,1973,,,,1973,
,"Kruspe, Nicole",phdthesis,Semelai,,,,,,,,,University of Melbourne,1974,,,,1999,
,"Cowan, Hendrik Karel Jan",,Grammar of the Sentani Language,,s’Gravenhage,,,,,,,Martinus Nijhoff,1975,,,,1965,
,"Faust, Norma",,Lecciones para el aprendizaja del idioma Shipibo-Conibo,,,,,,,,,Instituto Linguistico de Verano,1976,,,,1973,
,"Valenzuela, Pilar M.",,Basic verb types and argument structures in Shipibo-Conibo,,,,,,,,,University of Oregon,1977,,,,1997,
,"Broadbent, Sylvia",,The Southern Sierra Miwok Language,,Berkeley,,,,,,,University of California Press,1978,,,,1964,
,"Moshinsky, Julius",,A Grammar of Southeastern Pomo,,Berkeley,,,,,,,University of California Press,1979,,,,1974,
,"Kuipers, Aert H.",,The Sqamish Language,,The Hague,,,,,,,Mouton,1980,,,,1967,
,"Naish, Constance",,A Sytactic Study of Tlingit,,,,,,,,,Summer Institute of Linguistics,1984,,,,1979,
,"Story, Gillian",,A Morphological Study of Tlingit,,,,,,,,,Summer Institute of Linguistics,1985,,,,1979,
Tlingit,"Swanton, John R.",,Handbook of American Indian Languages,,,"Boas, Franz",,,,,159-204,,1986,,,,1911,
,"Monod-Becquelin, Aurore",,La Pratique Linguistique des Indiens Trumai,,Paris,,,,,,,Centre National de la Researche Scientifique,1987,,,,1975,
,"Guirardello, Raquel",phdthesis,A reference grammar of Trumai,,,,,,,,,Rice University,1988,,,,1999,
,"Haas, Mary R.",,Tunica,,New York,,,,,,,J. J. Augustin,1989,,,,1940,
,"Louwerse, John",,The Morphosyntax of Una in Relation to Discourse Structure,,Canberra,,,,,,,Australian National University,1990,,,,1988,
,"Coate, H. H. J. & Oates, Lynette Frances",,A Grammar of Ngarinjin,,Cranberra,,,,,,,Australian Institute of Aboriginal Studies Press,1991,,,,1970,
,"Rumsey, Alan",,"An Intra-Sentence Grammar of Ugarinjin, North-Western Australia",,Canberra,,,,,,,"Dept. of Linguistics, Research School of Pacific Studies, Australian National University for the Linguistic Circle of Canberra",1992,,,,1982,
Urubu-Kaapor,"Kakumasu, James",,"Handbook of Amazonian Languages, 1",,Berlin,"Derbyshire, Desmond C. & Pullum, Geoffrey K.",,,,,326-403,Mouton de Gruyter,1993,,,,1986,
,"Dixon, Robert M. W.",,A Grammar of Yidiny,,Cambridge,,,,,,,Cambridge University Press,1997,,,,1977,
Yuchi,"Wagner, Gunter",,"Handbook of American Indian Languages, Part 3",,New York,"Boas, Franz",,,,,,Columbia University Press (also published 1934 as a separate monograph),1999,,,,19331938,
Jukagirskij jazyk,"Krejnovič, E. A.",,,,Moscow-Leningrad,,,,,,,,2000,,,,1958,
,"Maslova, Elena",,A Grammar of Kolyma Yukaghir,,Bielefeld,,,,,,,Universität Bielefeld,2001,,,,1998,
,"Jacobson, Steven A.",,A Practical Grammar of the St. Lawrence Islands / Siberian Yupik Eskimo Language,,Fairbanks,,,,,,,Alaska Native Language Center,2002,,,,1990,
,"Robins, R.obert Henry",,The Yurok Language,,Berkeley,,,,,,,University of California Press,2004,,,,1958,
,"Harlow, Ray",,Maori,,Munich,,,,,,,Lincom Europa,2007,,,,1996,
,"Guillaume, Antoine",,A Grammar of Cavineña,,Berlin,,"Guillaume, Antoine. 2008. A Grammar of Cavineña. Mouton Grammar Library, 44. Berlin: Mouton de Gruyter.",,,,,Mouton de Gruyter,2008,,,,2008,
,"Lafitte, Pierre",,Grammaire Basque,,Bayonne,,,,,,489,Amis du Musee Basque,2010,,,,1962,
Monotransitive ‘give’-constructions. Exploring the periphery of ditransitives,"Creissels, Denis & Michael Daniel",conference,,,,,,,,,,,5369563476,,,,2006,
Gela,"Crowley, Terry",incollection,The Oceanic Languages,,London,"Lynch, John & Malcolm Ross & Terry Crowley",,,,,525-537,Curzon,5369585001,,,,2002,
Argumentstruktur in ditransitiven Verben im Vietnamesischen,"Hanske, Theresa",,,,Köln,,"Theresa Hanske: Argumentstruktur in ditransitiven Verben im Vietnamesischen. Präsentation vom 16.10.2007, 16-17.30 Uhr.",,,,,,5369662128,,,,2007,
Grammaticalization theory and its relevance to African linguistics,"Heine, Bernd",,African linguistics at the crossroads: Papers from Kwaluseni,,Köln,"Herbert, Robert K.",,,,,1-15,Rüdiger Köppe,5369726976,,,,1997,
The Use of Language Data in Comparative Research: A Note on Blust and Onvlee,"Klamer, Marian",,,,,,"Klamer, Marian. 2009. The Use of Language Data in Comparative Research: A Note on Blust (2008) and Onvlee (1984). Oceanic Linguistics, 48 (1). 250-263.",1,Ocean Linguistics,,250-263,,5370129585,,,48,2009,
Evidentiality in Qiang,"LaPolla, Randy J.",,Studies in Evidentiality (Typological Studies in Language),,Amsterdam,"Aikhenvald, Alexandra Y & R. M. W. Dixon","LaPolla, Randy J. 2003. Evidentiality in Qiang. in: Aikhenvald, Alexandra Y & R. M. W. Dixon (eds.). Studies in Evidentiality. Typological Studies in Language. Amsterdam: John Benjamins. pp. 63-78.",,,,63-78,John Benjamins,5370171745,,,,2003,
Another foray into Warlpiri complex verbs; which bit determines argument structure?,"Laughren, Mary",,,,Sydney,,,,,,,University of Sydney,5370247812,,,,2007,
The possessive-benefactive connection,"Lichtenberk, František",,,,,,"Lichtenberk, František. 2002. The possessive-benefactive connection. Oceanic Linguistics, 41: 439-474.",,Oceanic Linguistics,,439-474,,5370347890,,,41,2002,
Review: A study of valency-changing devices in Proto Oceanic,"Lichtenberk, František",,,,,,"Lichtenberk, František. 2005. A study of valency-changing devices in Proto Oceanic. Review in Oceanic Linguistics, 44: 559-563.",,Oceanic Linguistics,,559-563,,5370378701,,,44,2005,
Benefactive marking in Oceanic languages: from possessive classifiers to benefactive markers,"Song, Jae Jung",,"Case, Typology and Grammar. In Honor of Barry J. Blake",,Amsterdam,"Siewierska, Anna & Jae Jung Song","Song, Jae Jung. 1998. Benefactive marking in Oceanic languages: from possessive classifiers to benefactive markers. in: Siewierska, Anna & Jae Jung Song (eds.). Case, Typology and Grammar. In Honor of Barry J. Blake. Amsterdam: John Benjamins. pp. 247ff.",,,,247ff.,John Benjamins,5370487786,,,,1998,
"Loanwords in Mapudungun, a language of Chile and Argentina","Golluscio, Lucía A.",,Loanwords in the world's languages: a comparative handbook,,Berlin,"Haspelmath, Martin & Uri Tadmor",,,,,1035-1071,Mouton de Gruyter,5370843284,,,,2009,
Dekomposition semantischer Rollen und gespaltene Intransitivität,"Primus, Beatrice",,Deskriptive Grammatik und allgemeiner Sprachvergleich,,Tübingen,"Zaefferer, Dietmar",,,,,105-148,Niemeyer,5371018043,,,,1998,
,"Tomlin, Russell S.",,Basic word order: Functional principles,,London,,"Tomlin, Russell S. (1986a). Basic word order: Functional principles. London: Croom Helm.",,,,,Croom Helm,5371136397,,,,1986,
Semantic primes in Amharic,"Amberber, Mengistu",book,Cross-Linguistic Semantics,,Amsterdam,"Goddard, Cliff","Amberber, Mengistu. 2008. Semantic primes in Amharic. in: Goddard, Cliff (ed.). Cross-Linguistic Semantics. Amsterdam: John Benjamins. 83-119.",,,,83-119,John Benjamins,5371194629,,,,2008,
"Thematic Roles, Event Structure, and Argument Encoding in Semantically Aligned Languages","Arkadiev, Peter M.",,The Typology of Semantic Alignment,,Oxford,"Donohue, Mark & Søren Wichmann","Arkadiev, Peter M. 2008. Thematic Roles, Event Structure, and Argument Encoding in Semantically Aligned Languages. in: Donohue, Mark & Søren Wichmann (eds.). The Typology of Semantic Alignment. Oxford: Oxford University Press.",,,,,Oxford University Press,5371234623,,,,2008,
A Contrastive Analysis of Interaction Verbs with Dative Complements,"Blume, Kerstin",,,,,,"Blume, Kerstin. 1998. A Contrastive Analysis of Interaction Verbs with Dative Complements. Linguistics 36 (2): 253-280.",2,Linguistics,,253-280,,5371283754,,,36,1998,
Case-marking strategies,"de Hoop, Helen & Andrej Malchukov",,,,,,"de Hoop, Helen & Malchukov, Andrej. 2008. Case-marking strategies. Linguistic Inquiry, 39 (4): 565-587.",4,Linguistic  Inquiry,,565-587,,5371403348,,,39,2008,
The challenge by inverse morphology,"Wunderlich, Dieter",,,,,,"Wunderlich, Dieter. 2005. The challenge by inverse morphology. Lingue e Linguaggio, 4 (2/2005), 195-214.",,Lingue e Linguaggio,,195-214,,5377525425,,,4,2005,
,"Baker, Mark C.",,Incorporation: A theory of grammatical function changing,,Chicago,,"Baker, Mark C., 1988: Incorporation: A theory of grammatical function changing. Chicago: University of Chicago Press.",,,,551,University of Chicago Press,5377634325,,,,1988,
"Topic, pronoun, and agreement in Chichewa","Bresnan, Joan & Sam A. Mchombo",,,,,,"Bresnan, Joan & Sam A. Mchombo. 1987. Topic, Pronoun, and Agreement in Chichewa. Language, 63: 741-82.",,Language,,741-82,,5377720299,,,63,1987,
Benefactive applicative periphrases: A typological approach,"Creissels, Denis",,Benefactives and Malefactives,,,"Zúñiga, Fernando & Seppo Kittilä","Creissels, Denis. 2010. Benefactive applicative periphrases: A typological approach. in: Zúñiga, Fernando & Seppo Kittilä (eds.). Benefactives and Malefactives. pp. 29-70.",,,,29-70,,5377765235,,,,2010,
,"Hagège, Claude",,Adpositions,,Oxford,,,,,,,Oxford University Press,5378005016,,,,2010,
The indeterminacy of word segmentation and the nature of morphology and syntax,"Haspelmath, Martin",,,,,,"Haspelmath, Martin. 2011. The indeterminacy of word segmentation and the nature of morphology and syntax. Folia Linguistica, 45(1). 31-80.",2,Folia Linguistica,,31-80,,5378076345,,,45,2011,
Terminology of Case,"Haspelmath, Martin",,The Oxford Handbook of Case,,Oxford,"Malchukov, Andrej & Andrew Spencer","Haspelmath, Martin. 2009. Terminology of case. in: Malchukov, Andrej & Andrew Spencer (eds.). The Oxford Handbook of Case. Oxford: Oxford University Press. pp. 505-517.",,,,505-517,Oxford University Press,5378126546,,,,2009,
On certain differences between English and French,"Kayne, Richard S.",,,,,,"Kayne, Richard S. 1981. Unambiguous Paths. in: May, Robert & Jan Koster (eds.). Levels of Syntactic Representation. Dordrecht: Kluwer. pp. 143-183.",,Linguistic Inquiry,,349-371,,5378184952,,,2,1981,
,"Nagano, Yasuhoshi",,A Manang glossary,,Tokyo,,,,,,,Institute fo the Study of Language and Cultures of Asia and Africa,5378713267,,,,1984,
,"Nichols, Johanna",,Linguistic Diversity in Space and Time,,Chicago,,"Nichols, Johanna. 1992. Linguistic Diversity in Space and Time. Chicago: University of Chicago Press.",,,,,University of Chicago Press,5378744330,,,,1992,
"Ergativity, Syntactic Typology, and Universal Grammar: Some Past and Present Viewpoints","Plank, Frans",,Ergativity. Towards a Theory of Grammatical Relations.,,London,"Plank, Frans",,,,,,,5378776313,,,,1979,
The class category in Tsez,"Rajabov, Ramazan N.",,"Studies on the Non-Slavic Languages of the Commonwealth of Independent States and the Baltic Republics (NSL), 9",,Chicago,"Aronson, Howard I.","Rajabov, Ramazan N. 1999. The class category in Tsez. in: Aronson, Howard I. (ed.). Studies on the Non-Slavic Languages of the Commonwealth of Independent States and the Baltic Republics (NSL), 9. Chicago: Chicago Linguistic Society.",,,,,Chicago Linguistic Society,5378808522,,,,1999,
Case in role and reference grammar,"Van Valin, Robert D., Jr.",,The Oxford Handbook of Case,,Oxford,"Malchukov, Andrej & Andrew Spencer","Van Valin, Robert D., Jr. 2009. Case in role and reference grammar. in: Malchukov, Andrej & Andrew Spencer (eds.). The Oxford Handbook of Case. Oxford: Oxford University Press. pp. 102-120.",,,,102-120,Oxford University Press,5379021308,,,,2009,
,"Foris, David Paul",,A Grammar of Sochiapan Chinantec: Studies in Chinantec Languages,,Dallas,,"Foris, David Paul. 2000. A Grammar of Sochiapan Chinantec: Studies in Chinantec Languages. 6. SIL International and The University of Texas at Arlington Publications in Linguistics, 135. Dallas: SIL International and The University of Texas at Arlington.",,,,,SIL International and The University of Texas at Arlington,5379340125,,,,2000,
,"Aikhenvald, Alexandra Y.",,A grammar of Tariana,,Cambridge,,"Aikhenvald, Alexandra Y. 2003. A Grammar of Tariana. Cambridge grammatical descriptions Series. Cambridge: Cambridge University Press.",,,,,Cambridge University Press,5379367392,,,,2003,
,"Traill, Anthony",book,A !Xóõ Dictionary,,Köln,,,,,,,Rüdiger Köppe,5379398020,,,,1994,
,"Schaefer, Ronald P. & Francis O. Egbokhare",unpublished,A reference grammar of Emai: a Nigerian Edoid language,,,,"Schaefer, Ronald P. & Francis O. Egbokhare. 2009. A reference grammar of Emai: a Nigerian Edoid language. [unpublished ms.]",,,,,,5379469006,,,,2009,
,"Tamura, Suzuko",,"The Ainu-Japanese dictionary, Saru dialect",,Tōkyō,,"Tamura, Suzuko. 1996. The Ainu-Japanese dictionary, Saru dialect. 
Tōkyō: Sōfūkan.",,,,,Sōfūkan,5379526936,,,,1996,
Note sur la distinction aliénable-inaliénable dans l'expression de la possession en hongrois,"Creissels, Denis",,EFOu 12,,,,,,,,151-167,,5379700710,,,,1975,
Aspect in Nanai,"Kazama, Shinjiro",,,,,,,,Journal of the Institute of Language Research,,181-192,,5379780379,,,15,2010,
,"Vallejos Yopán, Rosa",phdthesis,A Grammar of Kokama-Kokamilla,,,,,,,,,University of Oregon,5379873818,University of Oregon,,,2010,b
Quelques remarques sur les verbes bitransitifs / Some remarks on ditransitive verbs,"Comrie, Bernard",,Combat pour les langues du monde / Fighting for the World’s Languages: Hommage à Claude Hagège,,Paris,"Fernandez-Vest, M.M. Jocelyne","Comrie 2007: Quelques remarques sur les verbes bitransitifs / Some remarks on ditransitive verbs. in: Fernandez-Vest, M.M. Jocelyne (ed.). Combat pour les langues du monde / Fighting for the World’s Languages: Hommage à Claude Hagège. Grammaire et Cognition, 4-5. Paris: L’Harmattan. pp. 115-125.",,,,115-125,L’Harmattan,5386041002,,,,2007,
"Presentation: Puma ditransitives: Flagging, indexing, and beyond","Jänen, Birgit",,,,,,,,,,,,5386104598,Universität Osnabrück,,,2009,
"Subjects, speakers, and roles","Fillmore, Charles J.",,,,,,,34,Synthese,,251-274,,5386209514,,,21,1970,
What can linguistics tell us about early Khoekhoe history,"Heine, Bernd & Christa König",,Khoekhoe and the Earliest Herders in Southern Africa,,,"Sadr, Karim & François-Xavier Fauvelle-Aymar","Heine, Bernd & Christa König. 2008. What can linguistics tell us about early Khoekhoe history. in: Sadr, Karim & François-Xavier Fauvelle-Aymar (eds.). 2008. Khoekhoe and the Earliest Herders in Southern Africa. Southern African Humanities, 20. pp. 235-248.",,,,235-248,,5386576467,,,,2008,
